Position CC / OVC (Picklist Label),Company (Label),Position Country (code),Legal Entity (Label),Legal Entity (Legal Entity Code),Location (Location Name),Business unit (Label),Business Segment (Picklist Label),Division (Label),Employment Classification (Label),Employee Type (Label),Employment Type (Label),Job Classification (Label),Cost Center (Label),Position Position Title (Label),Position Job Function (Label),Work Contract (Picklist Label),CC / OVC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Buyer VI,Procurement,Global Senior Buyer - Gears,Supply Chain,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Buyer I,Procurement,Buyer,Supply Chain,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Quality,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Quality Engineer II,Quality,Supplier Quality Engineer,Manufacturing Quality,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Human Resources,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,HR Manager II,UK - HR Support,Human Resources Manager,Human Resources,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Finance,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Accountant VII,UK Admin General,Financial Reporting Manager,Finance,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer III,C&A,Software Application Test Engineer,Engineering,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Plan/ProjMgt,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Project Manager I,AFC - Application,OpEx & Project Manager,Planning/Project Management,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer I,AFC - Application,Design Engineer,Engineering,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Principal Engineer I,AFC - Application,Principal Engineer - Power Products,Engineering,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer III,R&P Engineering,Mechanical Design Engineer,Engineering,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Sales,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Sales Administrator II,EUR Sales Support,Customer Services Representative,Sales,UK Permanent FT (80),CC
Overhead Variable Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Fitter,Manchester - Service,Multiskilled Fitter,Manufacturing,UK Permanent FT (80),OVC
Overhead Variable Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Field Svc,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Salaried,Field Service Representative-Bargained,Service Engineers,Service Engineer,Co. Owned Distribution,UK Permanent FT (80),OVC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer V,PRS Application,Principal Engineer - Analysis & Test,Engineering,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Manufacturing Manager I,Valve Assembly,Production Manager - Valve Assembly,Manufacturing,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Supply Chain Manager II,Longwall Prod Report,"Supply Chain Manager, UK",Supply Chain,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Principal Engineer I,AFC - Application,Principal Engineer - Chain Products,Engineering,UK Permanent FT (80),CC
Overhead Variable Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Fitter,Valve Assembly,Valve Assembler,Manufacturing,UK Permanent FT (80),OVC
Overhead Variable Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Field Svc,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Salaried,Field Service Representative-Bargained,Service Engineers,Service Engineer,Co. Owned Distribution,UK Permanent FT (80),OVC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer I,PRS Application,Design Engineer,Engineering,UK Permanent FT (80),CC
Overhead Variable Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Fitter,Valve Assembly,Multi-Skilled Fitter,Manufacturing,UK Permanent FT (80),OVC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer I,PRS Application,Design Engineer,Engineering,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Planning Manager III,TMO,Operations Planning & Scheduling Manager,Planning/Project Management,UK Permanent FT (80),CC
Overhead Variable Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Fitter,Valve Assembly,Valve Assembler,Manufacturing,UK Permanent FT (80),OVC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Sales,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Sales Manager V,Commercial,Senior Service Excellence Auditor - Distributor Service Performance,Sales,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer V,Longwall C&A Systems,Product Support Manager,Engineering,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Field Svc,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Salaried,Project Engineer II,Industrial Minerals,Account Manager,Engineering,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer III,C&A  Applications,Senior Software Engineer,Engineering,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,EHS,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,"Regional Director, Environment, Health & Safety",HR,"Regional Director, Environment, Health & Safety",Environmental Health & Safety,UK Permanent FT (80),CC
Overhead Variable Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Fitter,Manchester - Service,Multi-Skilled Fitter,Manufacturing,UK Permanent FT (80),OVC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer III,C&A,Software Engineer,Engineering,UK Permanent FT (80),CC
Capacity Cost,Surface,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Field Svc,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Service Technician,P&H Recharge,Service Engineer,Co. Owned Distribution,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,North America,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Engineer IV,C&A,Senior Software Engineer,Engineering,UK Permanent FT (80),CC
Capacity Cost,Surface,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Field Svc,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Service Technician,P&H Recharge,Service Engineer,Co. Owned Distribution,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Finance,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,UK Controller,UK Admin General,UK Head of Finance,Finance,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer IV,PRS Application,Principal Engineer Hydraulics,Engineering,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Aftrmkt Spt,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Salaried,Technical Writer II,Tech Pubs,Technical Writer,Aftermarket Support,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Finance,Komatsu Mining Technologies,General & Administrative,Regular,Part-Time,Salaried,Finance Clerk-Bargained,UK Admin General,Purchase Invoice Clerk,Finance,UK Permanent PT (81),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Finance,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Finance and Pension Manager I,UK Admin General,Finance Manager,Human Resources,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Plan/ProjMgt,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Commercial Accounting Manager II,Crushing - Eurasia,Manager of Global Distribution Partners,Finance,UK Permanent PT (81),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Finance,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Payroll Specialist I,UK Admin General,Senior Payroll Administrator,Finance,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineering Manager IV,AFC - Application,"Principal Engineer, AFC Applications",Engineering,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer III,C&A  Applications,Electronic Test Engineer,Engineering,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Quality,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Quality Manager II,Quality,Quality Leader,Manufacturing Quality,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Legal,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Legal Counsel,UK – Legal,Legal Counsel,Legal,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer IV,C&A  Applications,Senior Software Engineer,Engineering,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer III,C&A  Applications,Software Engineer,Engineering,UK Temporary FT (82),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Admin,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Pension Administrator I,Pensions Recharge,Senior Pension's Administrator,Human Resources,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer III,AFC - Application,Senior Design Engineer,Engineering,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Information Technology,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Desktop Support Technician,UK - GBS,IT Client Administrator,Information Technology,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Sales,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Commercial Administrator,Commercial,Commercial Administrator,Commercial,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Sales,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Commercial Administrator,Commercial,Commercial Administrator,Commercial,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Plan/ProjMgt,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Estimator I,AFC Quotations,Senior Technical Estimator,Planning/Project Management,UK Permanent FT (80),CC
Overhead Variable Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Quality,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Quality Engineer II,Quality,Welding Technician,Manufacturing Quality,UK Permanent FT (80),OVC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Software Engineer III,Longwall C&A Systems,"Senior Product Support Engineer, EHCs",Engineering,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Field Svc,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Salaried,Service Manager I,Service Engineers,Service Manager - Underground Products,Co. Owned Distribution,UK Permanent FT (80),CC
Overhead Variable Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Field Svc,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Salaried,Field Service Representative-Bargained,Service Engineers,Service Engineer,Co. Owned Distribution,UK Permanent FT (80),OVC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Finance,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Commercial Accounting Manager II,Commercial,Commercial Manager OE Service & EMENA,Finance,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Buyer I,Procurement,Buyer,Supply Chain,Full-time (U1),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Finance,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Finance Manager I,UK Admin General,UK Finance Manager - Tax and Compliance,Finance,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Commercial,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Commercial Director,Trade Finance,Commercial Director & Trade Finance Head,Commercial,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer III,C&A,Software Engineer,Engineering,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer IV,AFC - Application,Reliability Engineer,Engineering,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Buyer-Bargained,Procurement,Buyer,Supply Chain,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer IV,AFC - Application,Senior Project Engineer,Engineering,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Sales,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Sales Manager V,Sales Directors,Head of Strategic Projects - UK & Europe,Sales,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Aftrmkt Spt,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Aftermarket Services Director III,Sales Directors,General Manager UK & EMENA,Aftermarket Support,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Buyer I,Procurement,Buyer,Supply Chain,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Finance,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Accountant VII,UK Admin General,UK Finance Business Partner - FP&A,Finance,Full-time (U1),CC
Overhead Variable Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Field Svc,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Salaried,Field Service Representative-Bargained,Service Engineers,Service Engineer,Co. Owned Distribution,,OVC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Plan/ProjMgt,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Buyer II,EUR Sales Support,Planner,Supply Chain,UK Permanent FT (80),CC
Overhead Variable Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Field Svc,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Salaried,Field Service Representative-Bargained,Service Engineers,Service Engineer,Co. Owned Distribution,UK Permanent FT (80),OVC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Finance,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Dispatcher I,Warehousing,Physical Inventory Controller,Supply Chain,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer III,AFC - Application,Senior Design Engineer,Engineering,UK Permanent FT (80),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Worcester - United Kingdom,Engineering,Komatsu Mining Technologies,Research and Development,Temporary,Casual,Hourly,Temporary - Engineering,AFC - Application,Consultant Engineer,Engineering,UK Temporary PT (83),CC
Capacity Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Plan/ProjMgt,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Project Manager I,PRS Application,Project Manager,Planning/Project Management,UK Permanent FT (80),CC
Overhead Variable Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Fitter,Quality,Inspector Skilled,Manufacturing,UK Permanent FT (80),OVC
Overhead Variable Cost,Underground,GBR,Joy Global (Uk) Limited,UK02,Manchester - United Kingdom,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Fitter,Quality,Inspector Skilled,Manufacturing,UK Permanent FT (80),OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Continuous Miners,Boilermaker,Contingent Worker,,OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Information Technology,Komatsu Mining Technologies,General & Administrative,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,IT,Contractor,Contingent Worker,,CC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer III,R&P Product Mgmt,Product Engineer,Engineering,Tech & Spec Sal (SE),CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Electric Motors,Armature Winder,Contingent Worker,,OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Information Technology,Komatsu Mining Technologies,General & Administrative,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,IT,Contractor,Contingent Worker,,CC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Information Technology,Komatsu Mining Technologies,General & Administrative,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,IT,Contractor - Software Developer,Contingent Worker,,CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Boilershop (W) - CM,Fettler,Contingent Worker,,OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Waste Management,Waste Sorter,Contingent Worker,,CC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Commercial,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,Pricing Analyst I,Mngr Marketing Serv,Pricing Analyst,Commercial,Indirect (IG),CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Aftermarket Maint.Ja,Electrician,Contingent Worker,,OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Information Technology,Komatsu Mining Technologies,General & Administrative,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,IT,Contractor,Contingent Worker,,CC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Procurement Manager,SupplyChain Director,Global Strategic Sourcing Manager - Gears,Supply Chain,Indirect (IG),CC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Human Resources,Komatsu Mining Technologies,General & Administrative,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Risk Management,Security,Contingent Worker,,CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,eMalahleni - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Hourly,Millwright,Matla Serv Support,Millwright,Manufacturing,Direct (DL),OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Warehouse Clerk II,Procurement,Procurement Administrator,Supply Chain,Indirect (IG),CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,eMalahleni - Republic of South Africa,Field Svc,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Salaried,Link Technician I,ProductivityAnalysis,Link Specialist,Co. Owned Distribution,Indirect (IG),OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Procurement,Canteen -Cashier,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Procurement,Canteen - FSA,Contingent Worker,,OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,eMalahleni - Republic of South Africa,Smart Svc,Komatsu Mining Technologies,Parts and Service,Regular,Full-Time,Salaried,Condition Monitoring Technician II,Condition Monitoring,Condition Monitoring Analyst,Smart Services,Tech & Spec Sal (SE),OVC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Aftermarket Maint.Ja,Welder,Contingent Worker,,OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Waste Management,Waste Sorter,Contingent Worker,,CC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer III,"Power,Control&Autom",Engineer - Control & Automation,Engineering,Indirect (IG),CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Manufacturing,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Boilershop (W) - SC,Fettler,Contingent Worker,,OVC
Capacity Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Human Resources,Komatsu Mining Technologies,General & Administrative,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Risk Management,Security,Contingent Worker,,CC
Overhead Variable Cost,Underground,ZAF,Joy Global Africa Pty Ltd,SA02,Wadeville - Republic of South Africa,Quality,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Inspector,QC Wadeville,Quality Control Inspector,Manufacturing,Indirect (IG),OVC
