CC / OVC,Company (Label),Position Country (Label),Legal Entity (Label),Physical Location (Location Name),Business unit (Label),Position Business Segment (Picklist Label),Division (Label),Employment Classification (Label),Employee Type (Label),Employment Type (Label),Job Classification (Label),Cost Center (Label),Job Title,Position Position Title (Label),Work Contract (Picklist Label),Job Function (Label)
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,E/E Assembler,PMO-ELEC TRK-ASSEM,Manufacturing - E/E Assembler,E/E Assembler,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Information Technology,Corporate,General & Administrative,Regular,Full-Time,Salaried,Project Coordinator,ECOMM,Project Coordinator,Project Coordinator,Cler & Sten Sal (SD),Planning/Project Management
OVC,Komatsu East,United States,Komatsu America Corp.,South Plainfield (KNE),Komatsu East,Komatsu North America,Komatsu East,Regular,Full-Time,Hourly,4th Class Mechanic,S. Plainfield Serv,4th Class Mechanic,4th Class Mechanic,,Warehouse Distribution
CC,Modular Mining Systems Inc,United States,"Modular Mining Systems, Inc.",Tucson,Mining Technology Solutions,Komatsu Mining Technologies,Autonomous Systems,Regular,Full-Time,Salaried,AS Distributor Sales Manager,AHS SG&A,AS Distributor Sales Manager,AS Distributor Sales Manager,,
OVC,KAC,United States,Komatsu America Corp.,Newberry,NMO Newberry,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Logistics Lead,NMO/WL Indirect Ware,Manufacturing - Logistics Lead,Logistics Lead,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Salaried,"Manager, Quality & Regulations Administration","CMO-MFG.QA,","Manufacturing - Manager, Quality & Regulations Administration","Manager, Quality & Regulations Administration",,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Product & Services,Komatsu North America,Sales & Product Support,Regular,Full-Time,Salaried,Product Marketing Manager,Product Serv-Wheeled,Product Marketing - Product Specialist,Product Marketing Manager,,Product Marketing
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Shop Clerk,Logistics,Manufacturing - Shop Clerk,Shop Clerk,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Welder,"CMO-RedHat,Supp,TL",Manufacturing - Welder,Manufacturing Engineering Technician,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Welder,"CMO-RedHat,Supp,TL",Manufacturing - Welder,Welder,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Newberry,NMO Newberry,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Assembler,NMO/WL Dir Assembly,Manufacturing - Assembler,Assembler,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Manufacturing Engineer II,PMO-MFG ENGINEERING,Manufacturing Engineer II,Manufacturing Engineer II,,Manufacturing
OVC,Komatsu America Industries,United States,Komatsu America Industries,Home Office,Komatsu America Industries,,IMO - KAI,Regular,Full-Time,Salaried,Field Service Technician,PTD Service-Mfg Dirt,Field Service - Field Service Technician,Field Service Technician,Cler & Sten Sal (SD),Co. Owned Distribution
CC,Komatsu West,United States,Komatsu America Corp.,Elko (KEC),Komatsu Equipment Company,Komatsu North America,Komatsu Equipment Company,Regular,Full-Time,Salaried,Construction Equipment Planner/Expeditor,Elko - Service Mgmt,NA - Construction Equipment Planner/Expeditor,Planner,,
OVC,KAC,United States,Komatsu America Corp.,Newberry,NMO Newberry,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Maintenance Tech I,NMO/WLIndirect Maint,Manufacturing - Maintenance Tech I,Maintenance Tech I,,Manufacturing
OVC,Komatsu West,United States,Komatsu America Corp.,Salt Lake City (KEC),Komatsu Equipment Company,Komatsu North America,Komatsu Equipment Company,Regular,Full-Time,Hourly,Shop Technician - U/N,Rebuild Non-Mgmt,Shop Technician - Shop Technician - U/N,Shop Technician - U/N,,Warehouse Distribution
CC,KAC,United States,Komatsu America Corp.,Peoria,Mining Marketing Division,Komatsu Mining Technologies,Mining,Regular,Full-Time,Salaried,Product Manager Mining,SE Marketing,Mining Sales & Marketing - Product Manager Mining,Program Manager,,Mining Sales & Marketing
CC,Komatsu East,United States,Komatsu America Corp.,Hatfield (Midlantic),Komatsu East,Komatsu North America,Komatsu East,Regular,Full-Time,Salaried,Rental Coordinator,Hatfield Rentals,NA - Rental Coordinator,Sr. Rental Coordinator,Cler & Sten Sal (SD),
OVC,Komatsu Forklift,United States,Komatsu Forklift,Fresno (Forklift),Komatsu Forklift Stores,,Komatsu Forklift,Regular,Full-Time,Hourly,Road B Level Technician,Fresno Road Service,Shop Technician - Road B Level Technician,Road B Level Technician,,Warehouse Distribution
CC,Komatsu West,United States,Komatsu America Corp.,Sparks (KEC),Komatsu Equipment Company,Komatsu North America,Komatsu Equipment Company,Regular,Full-Time,Salaried,Warranty Administrator,Reno - Service Mgmt,Administrative - Warranty Administrator,Warranty Administrator,Cler & Sten Sal (SD),Administrative
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Strategy & Innovation,Komatsu North America,General & Administrative,Regular,Full-Time,Salaried,Senior Strategy and Analytics Analyst,Digital Office KNA,NA - Market Economic Analyst,Senior Digital Strategy Analyst,,Strategy & Innovation
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Information Technology,Corporate,General & Administrative,Regular,Full-Time,Salaried,Infrastructure Engineer,Data Center Environ,Information Technology - Infrastructure Engineer,Infrastructure Engineer,,Information Technology
CC,KAC,United States,Komatsu America Corp.,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineer IV,DESIGN ENGINEERING,Engineer IV,Engineer IV,,Engineering
OVC,Komatsu Forklift,United States,Komatsu Forklift,Ontario (Forklift),Komatsu Forklift Stores,,Komatsu Forklift,Regular,Full-Time,Hourly,Road B Level Technician,SVC FIELD-ONTARIO,Shop Technician - Road B Level Technician,Road B Level Technician,,Warehouse Distribution
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Trans Utility Worker,PEORIA MFG,Manufacturing - Trans Utility Worker,Trans Utility Worker,,Manufacturing
OVC,Komatsu East,United States,Komatsu America Corp.,South Plainfield (KNE),Komatsu East,Komatsu North America,Komatsu East,Regular,Full-Time,Hourly,Sr Field Technician 1,S. Plainfield Serv,Shop Technician - Sr Field Technician 1,Sr Field Technician 1,,Warehouse Distribution
CC,Modular Mining Systems Inc,United States,"Modular Mining Systems, Inc.",Tucson,Mining Technology Solutions,Komatsu Mining Technologies,Autonomous Systems,Regular,Full-Time,Salaried,AS Distributor Sales Manager,AHS SG&A,AS Distributor Sales Manager,"Manager, Commercial & Contracts Autonomous Systems",,
CC,KAC,United States,Komatsu America Corp.,Chattanooga,Supply Chain Division,Komatsu North America,Manufacturing,Regular,Full-Time,Salaried,Supply Chain Planner,Supply Chain Divisio,Supply Chain - Supply Chain Planner,Supply Chain Planner,,Supply Chain
CC,KAC,United States,Komatsu America Corp.,Home Office,Product & Services,Komatsu North America,Sales & Product Support,Regular,Full-Time,Salaried,Customer Support Manager,Central Region Servi,Customer Service - Customer Support Manager,Customer Support Manager,,Customer Service
OVC,Komatsu East,United States,Komatsu America Corp.,Laurel (Midlantic),Komatsu East,Komatsu North America,Komatsu East,Regular,Full-Time,Hourly,Working Foreman 0 - NU,Laurel Service,Shop Technician - Working Foreman 0 - NU,Working Foreman - NU,,Warehouse Distribution
CC,KAC,United States,Komatsu America Corp.,Ripley,Parts Ripley,Komatsu North America,Parts,Regular,Full-Time,Salaried,Technical Support Specialist,INT'L DIST PARTS SUP,Parts - Technical Support Specialist,Technical Support Specialist,,Parts
CC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Sr Product Quality Engineer-Assem,PMO-NC PROG&TOOL DES,Sr Product Quality Engineer-Assem,Senior Quality Engineer,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,CMM & Machining Inspector,PMO-INSPECTION,Manufacturing - CMM & Machining Inspector,CMM & Machining Inspector,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,General Machinist,PMO-SALVAGE,Manufacturing - General Machinist,General Machinist,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,E/E Assembler,PMO-ELEC TRK-ASSEM,Manufacturing - E/E Assembler,E/E Assembler,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Trans Utility Worker,Logistics,Manufacturing - Trans Utility Worker,Trans Utility Worker,,Manufacturing
OVC,Komatsu West,United States,Komatsu America Corp.,Salt Lake City (KEC),Komatsu Equipment Company,Komatsu North America,Komatsu Equipment Company,Regular,Full-Time,Hourly,Leadman - U,Corp Admin - Service,NA - Leadman - U,EDT Field Technician Lead,,
CC,Komatsu East,United States,Komatsu America Corp.,Baltimore (Midlantic),Komatsu East,Komatsu North America,Komatsu East,Regular,Full-Time,Salaried,Collection Support Specialist,Accounting,Administrative - Collection Support Specialist,Administrative - Collection Support Specialist,Cler & Sten Sal (SD),Administrative
CC,KAC,United States,Komatsu America Corp.,Ripley,Parts Ripley,Komatsu North America,Parts,Regular,Full-Time,Salaried,Life Cycle Planning Specialist,Parts Technical,Parts - Life Cycle Planning Specialist,Life Cycle Planning Specialist,,Parts
CC,KAC,United States,Komatsu America Corp.,Home Office,Product & Services,Komatsu North America,Sales & Product Support,Regular,Full-Time,Salaried,SMART Const Solutions Manager,Smart Construction,Product Marketing - SMART Const Solutions Manager,SMART Const Solutions Manager,,Product Marketing
CC,Komatsu West,United States,Komatsu America Corp.,Salt Lake City (KEC),Komatsu Equipment Company,Komatsu North America,Komatsu Equipment Company,Regular,Full-Time,Salaried,A/P Representative,Corp Admin-Accountng,Accounting - A/P Representative,A/P Representative,Cler & Sten Sal (SD),Accounting
OVC,KAC,United States,Komatsu America Corp.,Newberry,NMO Newberry,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Assembler,NMO/WL Dir Assembly,Manufacturing - Assembler,Assembler,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Sahuarita (AZ Proving Grounds),NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Sr Heavy Equipment Operator,PROVING GROUNDS,Research & Development - Sr Heavy Equipment Operator,Sr Heavy Equipment Operator,Cler & Sten Sal (SD),Research & Development
OVC,Komatsu East,United States,Komatsu America Corp.,Harrisburg (Midlantic),Komatsu East,Komatsu North America,Komatsu East,Regular,Full-Time,Hourly,Sr Field Technician 0,Harrisburg Service,Shop Technician - Sr Field Technician 0,Sr Field Technician,,Warehouse Distribution
CC,KAC,United States,Komatsu America Corp.,Ripley,Parts Ripley,Komatsu North America,Parts,Regular,Full-Time,Salaried,"Supervisor, Customer Support Services BI",Customer Care,"Customer Service - Supervisor, Customer Support Services BI","Supervisor, Customer Support Services BI",,Customer Service
CC,Komatsu East,United States,Komatsu America Corp.,Baltimore (Midlantic),Komatsu East,Komatsu North America,Komatsu East,Regular,Full-Time,Salaried,Service Supervisor,Baltimore Serv Admin,Production Planning - Service Supervisor,Service Supervisor,,Production Planning
CC,KAC,United States,Komatsu America Corp.,Peoria,NA Research & Development,Komatsu North America,Development,Regular,Full-Time,Salaried,"Senior Director, Administrations & Regulations - North America E&D",NA R&D ENG. ADMIN-HQ,"Senior Director, Administrations & Regulations - North America E&D","Senior Director, Regulations and IP",,
CC,KAC,United States,Komatsu America Corp.,Milwaukee South Harbor,Corporate Finance,Corporate,General & Administrative,Regular,Full-Time,Salaried,Category Manager I,NA PURCHASING,Finance - Sourcing Global Group Category Manager,Category Manager,,Finance
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Inspector I,CMO-INDIR.QA-HE,Manufacturing - Inspector I,Inspector I,,Manufacturing
OVC,Komatsu Forklift,United States,Komatsu Forklift,Long Beach (Forklift),Komatsu Forklift Stores,,Komatsu Forklift,Regular,Full-Time,Hourly,Road B Level Technician,SVC FIELD LONG BEACH,Shop Technician - Road B Level Technician,Road B Level Technician,,Warehouse Distribution
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Komatsu Financial,Komatsu North America,Komatsu Financial,Regular,Full-Time,Salaried,Finance Representative,KFLP OVERHEAD-RETAIL,Finance - Finance Representative,Finance Representative,,Finance
OVC,Komatsu West,United States,Komatsu America Corp.,Salt Lake City (KEC),Komatsu Equipment Company,Komatsu North America,Komatsu Equipment Company,Regular,Full-Time,Hourly,Shop/Field Technician - U/N,SaltLake-Svc NonMgmt,Shop Technician - Shop/Field Technician - U/N,Field Technician - U/N,,Warehouse Distribution
OVC,KAC,United States,Komatsu America Corp.,Newberry,NMO Newberry,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Assembler,NMO/WL Dir Assembly,Manufacturing - Assembler,Assembler,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Peoria,Manufacturing Admin,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,"Coordinator, Order & Distribution",Materials Management,"Manufacturing Admin - Coordinator, Order & Distribution",Intl & Dom Logistics Team Lead,Cler & Sten Sal (SD),Manufacturing Support
CC,KAC,United States,Komatsu America Corp.,Ripley,Parts Ripley,Komatsu North America,Parts,Regular,Full-Time,Salaried,"Supervisor, Warehouse",Wrhs Supervisors/Rec,"Parts - Supervisor, Warehouse","Supervisor, Warehouse",Group Leader Sal (SB),Parts
OVC,Komatsu East,United States,Komatsu America Corp.,Wilkes Barre (Midlantic),Komatsu East,Komatsu North America,Komatsu East,Regular,Full-Time,Hourly,2nd Class Mechanic,Wilkes Barre Service,2nd Class Mechanic,2nd Class Mechanic,,Warehouse Distribution
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Engineering Technician,CMO-DIR-REMAN,Manufacturing - Engineering Technician,Engineering Technician,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Salaried,Production Scheduler/Planner,CMO-PPCS,Manufacturing - Production Scheduler/Planner,Production Scheduler/Planner,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Assembler TL,"CMO-RedHat,Supp,TL",Manufacturing - Assembler TL,Assembler TL,,Manufacturing
OVC,Komatsu Forklift,United States,Komatsu Forklift,Long Beach (Forklift),Komatsu Forklift Stores,,Komatsu Forklift,Regular,Full-Time,Hourly,Road B Level Technician,SVC FIELD LONG BEACH,Shop Technician - Road B Level Technician,Road B Level Technician,,Warehouse Distribution
CC,KAC,United States,Komatsu America Corp.,Sahuarita (AZ Proving Grounds),NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Sr. Test Technician,PROVING GROUNDS,Research & Development - Sr Test Tech,Sr Test Tech,Cler & Sten Sal (SD),Research & Development
OVC,KAC,United States,Komatsu America Corp.,Quadco Kalama,Quadco,,Komatsu Forest,Regular,Full-Time,Salaried,Parts Specialist,Parts,Parts - Parts Specialist,Parts Specialist,,Parts
CC,KAC,United States,Komatsu America Corp.,Quadco Lexington,Quadco,,Komatsu Forest,Regular,Full-Time,Salaried,Sales Coordinator - Quadco,Sales,Sales - Sales Coordinator - Quadco,Sales Coordinator - Quadco,Tech & Spec Sal (SE),Sales
OVC,KAC,United States,Komatsu America Corp.,Quadco Lexington,Quadco,,Komatsu Forest,Regular,Full-Time,Hourly,Production Worker,Production,NA - Production Worker,Production Worker,,
CC,KAC,United States,Komatsu America Corp.,Quadco Lexington,Quadco,,Komatsu Forest,Regular,Full-Time,Salaried,President - Quadco,Executive Quadco US,Executive Leadership - President - Quadco,President - Quadco,,Executive Leadership
CC,KAC,United States,Komatsu America Corp.,Quadco Kalama,Quadco,,Komatsu Forest,Regular,Full-Time,Salaried,Parts Manager,Parts,Parts - Parts Manager,Parts Manager,,Parts
OVC,KAC,United States,Komatsu America Corp.,Quadco Lexington,Quadco,,Komatsu Forest,Regular,Full-Time,Salaried,Technical Support Specialist,Service Tech,NA - Technical Support Specialist,Technical Support Specialist,,
CC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Distribution Operations Manager,Materials Management,Distribution Operations Manager,Distribution Operations Manager,,Supply Chain
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Parts Sales & Marketing,Komatsu North America,Parts,Regular,Full-Time,Salaried,Contract Analyst,Genuine Care,Aftermarket Support - Contract Analyst,Aftermarket Support Contract Business Analyst,,Aftermarket Support
CC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,"Manager, Supplier Quality",PMO-NC PROG&TOOL DES,"Manufacturing - Manager, Supplier Quality","Manager, Supplier Quality",,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Home Office,Construction Equipment Sales,Komatsu North America,Sales & Product Support,Regular,Full-Time,Salaried,National Accounts Manager,NATIONAL ACCOUNTS,Sales - National Accounts Manager,National Accounts Manager,,Sales
OVC,Komatsu East,United States,Komatsu America Corp.,South Plainfield (KNE),Komatsu East,Komatsu North America,Komatsu East,Regular,Full-Time,Hourly,Sr Field Technician 1,S. Plainfield Serv,Shop Technician - Sr Field Technician 1,Sr Field Technician 1,,Warehouse Distribution
CC,Komatsu Forklift,United States,Komatsu Forklift,Long Beach (Forklift),Komatsu Forklift Stores,,Komatsu Forklift,Regular,Full-Time,Salaried,Territory Sales Representative,SALES LONG BEACH,Sales - Territory Sales Representative,Territory Sales Representative,,Sales
OVC,Komatsu West,United States,Komatsu America Corp.,Casper (KEC),Komatsu Equipment Company,Komatsu North America,Komatsu Equipment Company,Regular,Full-Time,Hourly,Shop/Field Technician - W,Casper Svc -NonMgmt,Shop/Field Technician - W,Shop Technician,,Warehouse Distribution
CC,KAC,United States,Komatsu America Corp.,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineer IV,DESIGN ENGINEERING,Engineer IV,Engineer IV,,Engineering
CC,Komatsu Forklift,United States,Komatsu Forklift,Long Beach (Forklift),Komatsu Forklift Stores,,Komatsu Forklift,Regular,Full-Time,Salaried,Service Writer,SALES ONTARIO,NA - Service Writer,Service Writer,,
CC,Komatsu West,United States,Komatsu America Corp.,Salt Lake City (KEC),Komatsu Equipment Company,Komatsu North America,Komatsu Equipment Company,Regular,Full-Time,Salaried,Sr Account Manager,KEC Corp Mining SLC,Sales - Sr Account Manager,Senior Account Manager,,Sales
CC,Gigaphoton,United States,Gigaphoton,Beaverton (Gigaphoton),Gigaphoton,,Gigaphoton,Regular,Full-Time,Salaried,Regional Tech Support Engineer,GPU Customer Service,NA - Regional Tech Support Engineer,Regional Tech Support Engineer,Cler & Sten Sal (SD),
CC,Komatsu East,United States,Komatsu America Corp.,South Plainfield (KNE),Komatsu East,Komatsu North America,Komatsu East,Regular,Full-Time,Salaried,Aggregate & Rd Application Specialist,Corporate Sales,Tech Service - Aggregate & Rd Application Specialist,Aggregate & Rd Application Specialist,,Technical Service
CC,Komatsu West,United States,Komatsu America Corp.,Salt Lake City (KEC),Komatsu Equipment Company,Komatsu North America,Komatsu Equipment Company,Regular,Full-Time,Salaried,IT Operations Analyst,Corp Admin - IT,Information Technology - IT Operations Analyst,IT Operations Analyst,Cler & Sten Sal (SD),
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,E/E Technician,PMO-MECH/ELEC MAINTE,Manufacturing - E/E Technician,E/E Technician,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Shop Clerk,Logistics,Manufacturing - Shop Clerk,Shop Clerk,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Contract Administrator,PMO-PURCHASING,Manufacturing - Contract Administrator,Buyer,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Product & Services,Komatsu North America,Sales & Product Support,Regular,Full-Time,Salaried,Associate Customer Success Manager,Smart Construction,Customer Service - Associate Customer Success Manager,Associate Customer Success Manager,,Customer Service
CC,Komatsu East,United States,Komatsu America Corp.,South Plainfield (KNE),Komatsu East,Komatsu North America,Komatsu East,Regular,Full-Time,Salaried,Territory Manager,S. Plainfield Sales,Sales - Territory Manager,Territory Manager,,Sales
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Shop Clerk,Logistics,Manufacturing - Shop Clerk,Shop Clerk,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Shop Clerk,Logistics,Manufacturing - Shop Clerk,Shop Clerk,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Milwaukee South Harbor,Information Technology,Corporate,General & Administrative,Regular,Full-Time,Salaried,IT Director I,ECOMM,Information Technology - IT Director I,"IT Director, Business Engagement",,Information Technology
CC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Office Services Coordinator,PMO-IT,Manufacturing - Office Services Coordinator,Office Services Coordinator,Cler & Sten Sal (SD),Manufacturing
CC,Komatsu West,United States,Komatsu America Corp.,Salt Lake City (KEC),Komatsu Equipment Company,Komatsu North America,Komatsu Equipment Company,Regular,Full-Time,Salaried,Asphalt & Road Specialist,Corp Admin - Sales,NA - Asphalt & Road Specialist,Asphalt & Road Specialist,,
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Painter,CMO-DIR.ASSY.-HE,Manufacturing - Painter,Painter,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Strategy & Innovation,Komatsu North America,General & Administrative,Regular,Full-Time,Salaried,"Manager, Digital Experience",Digital Solution KNA,"Strategy & Innovation - Manager, Digital Experience","Manager, Digital Experience",,Strategy & Innovation
CC,Komatsu Forklift,United States,Komatsu Forklift,Alsip (Forklift),Komatsu Forklift Stores,,Komatsu Forklift,Regular,Full-Time,Salaried,"Director, Operations",ADMIN GEN MTG-CHI,"Director, Operations","Director, Retail Operation, Service and Warranty",,Finance
CC,KAC,United States,Komatsu America Corp.,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Lead Engineer II,DESIGN ENGINEERING,Lead Engineer II,Lead Engineer II,,Engineering
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Corporate Finance,Corporate,General & Administrative,Regular,Full-Time,Salaried,Accounting Administrator,SHARED SERV CTR - AP,Accounting - Accounting Administrator,Accounting Administrator,Cler & Sten Sal (SD),Accounting
CC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Sr EHS Manager,PMO-SAFETY,Sr EHS Manager,Regional EHS Director,,Environmental Health & Safety
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Shop Clerk,Logistics,Manufacturing - Shop Clerk,Shop Clerk,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Shop Clerk,Logistics,Manufacturing - Shop Clerk,Shop Clerk,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Salaried,Category Manager I,CMO-PROCURE.HE/WL,Procurement - Procurement Engineer,Category Manager,,Procurement
CC,KAC,United States,Komatsu America Corp.,Peoria,Human Resources,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Field HR Representative,Haulage HR,Human Resources - Field HR Representative,Field HR Representative,,Human Resources
CC,Komatsu East,United States,Komatsu America Corp.,Hatfield (Midlantic),Komatsu East,Komatsu North America,Komatsu East,Regular,Full-Time,Salaried,Inside Product Support Sales Specialist,MM Corp Prod Sppt,Product Support - Inside Product Support Sales Specialist,Inside Product Support Sales Specialist,,Product Support
CC,Komatsu East,United States,Komatsu America Corp.,Hatfield (Midlantic),Komatsu East,Komatsu North America,Komatsu East,Regular,Full-Time,Salaried,Service Supervisor,Hatfield Serv Admin,NA - Service Supervisor,Service Supervisor,,
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Welder,CMO-DIR.FAB.-HE,Manufacturing - Welder,Welder,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Welder,CMO-DIR.FAB.-HE,Manufacturing - Welder,Welder,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Ripley,Parts Ripley,Komatsu North America,Parts,Regular,Full-Time,Salaried,Scheduling Planner,PARTS CENTRAL INV MG,Parts - Scheduling Planner,Scheduling Planner,,Parts
CC,KAC,United States,Komatsu America Corp.,Ripley,Parts Ripley,Komatsu North America,Parts,Regular,Full-Time,Salaried,Scheduling Planner,REMAN MGT.,Parts - Scheduling Planner,Product Planning Specialist,,Parts
CC,KAC,United States,Komatsu America Corp.,Quadco Kalama,Quadco,,Komatsu Forest,Regular,Full-Time,Salaried,Territory Salesman,Sales,Sales - Territory Salesman,Territory Salesman,,Sales
CC,Komatsu East,United States,Komatsu America Corp.,Holbrook (Ehrbar),Komatsu East,Komatsu North America,Komatsu East,Regular,Full-Time,Salaried,Territory Manager,Holbrook Sales,Sales - Territory Manager,Territory Manager,,Sales
CC,KAC,United States,Komatsu America Corp.,Chattanooga,Corporate Finance,Komatsu North America,General & Administrative,Regular,Full-Time,Salaried,"Sr. Manager, Accounting",SHARED SERV CTR KNA,"Accounting - Sr. Manager, Accounting","Sr. Manager, Accounting",,Accounting
CC,Corporate,United States,Komatsu Mining Corp.,Milwaukee South Harbor,Human Resources,Corporate,General & Administrative,Regular,Full-Time,Salaried,Vice President of Human Resources,Talent Development,Human Resources - Vice President of Human Resources,"Vice President, HR Innovations",Tech & Spec Sal (SE),Human Resources
OVC,KAC,United States,Komatsu America Corp.,Newberry,NMO Newberry,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Assembler,NMO/WL Dir Assembly,Manufacturing - Assembler,Assembler,,Manufacturing
